RespondentID,Gender,What is your ethnicity?,What is your age group?,How far is your school and/or work from where you live?,How often do you commute to school and/or work by car/your own motorized vehicle,How often do you commute to school and/or work by public transit,How often do you commute to school and/or work by bike,How often do you commute to school and/or work by walking,"When you are NOT commuting to school and/or work, how often do you bike?","If you have children under the age of 18, do you allow them to bike and/or walk to school?",Do you know of any children that have been hit by a car while biking and/or walking in your city?,Have you or any adult you know been hit by a car while biking and/or walking in your city?,"When you bike/walk, is it to commute?","When you bike/walk, is it to be environmentally friendly?","When you bike/walk, is it for recreation?","When you bike/walk, is it for exercise?"
5036831357,Male,White,46-55,2-5 miles,5+ times per week,,5+ times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5036819619,Male,Asian,36-45,Over 20 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5036813759,Female,White,36-45,Under 2 miles,,,,3-4 times per week,1-2 times per month,Yes,No,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
5036808327,Male,White,Over 56,6-10 miles,,1-2 times per week,1-2 times per week,1-2 times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5036803119,Male,Hispanic or Latino,46-55,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
5036761310,Male,Hispanic or Latino,26-35,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
5036753277,Female,Hispanic or Latino,26-35,6-10 miles,5+ times per week,Never,Never,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
5036731230,Female,Hispanic or Latino,26-35,11-20 miles,1-2 times per month,5+ times per week,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,
5036720628,Female,Asian,36-45,11-20 miles,5+ times per week,,,,1-2 days per week,,,,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
5036713735,Female,Asian,36-45,Over 20 miles,5+ times per week,,,,,Yes,Yes,"Yes, walking",To commute to school or work,Be Environmentally Friendly,Recreation,
5036708237,Female,White,Over 56,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,,
5036703669,Female,White,36-45,6-10 miles,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5036698287,Male,White,Over 56,2-5 miles,3-4 times per week,,1-2 times per week,1-2 times per month,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5036694034,Female,White,Over 56,,,,,,,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5036686418,Female,Black or African American,46-55,Over 20 miles,,5+ times per week,,1-2 times per month,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,,
5036680107,Male,Hispanic or Latino,26-35,6-10 miles,5+ times per week,,,,1-2 times per month,No,Yes,"Yes, biking",,,Recreation,
5036675048,Female,Asian,13-17,Under 2 miles,3-4 times per week,,,1-2 times per week,,Yes,No,No,,,,Exercise (not on a stationary bike)
5036668120,Male,Asian,18-25,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5023912989,Male,White,46-55,,,,,,3-4 days per week,No,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5006528448,Male,Asian,26-35,6-10 miles,1-2 times per week,1-2 times per month,3-4 times per week,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5004680840,Male,Asian,18-25,,,,,,5+ days per week,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5004106811,Male,Hispanic or Latino,46-55,11-20 miles,5+ times per week,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5004102130,Female,White,Over 56,Under 2 miles,5+ times per week,Never,1-2 times per month,5+ times per week,5+ days per week,,,,To commute to school or work,,Recreation,
5004079266,Male,Asian,36-45,,,,,,1-2 times per month,No,No,No,,,Recreation,
5004076808,Male,Hispanic or Latino,36-45,Over 20 miles,5+ times per week,,,,3-4 days per week,No,No,"Yes, walking",,,Recreation,Exercise (not on a stationary bike)
5004074284,Male,White,Over 56,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5004071623,Female,Black or African American,46-55,Under 2 miles,1-2 times per week,Never,1-2 times per month,3-4 times per week,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,,Recreation,Exercise (not on a stationary bike)
5004068275,Female,,46-55,,,,,,1-2 days per week,,Yes,No,,,Recreation,Exercise (not on a stationary bike)
5004066354,Male,White,Over 56,6-10 miles,3-4 times per week,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,
5004062761,Male,Asian,13-17,Under 2 miles,1-2 times per month,Never,Never,5+ times per week,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5004059770,Male,White,46-55,2-5 miles,5+ times per week,,5+ times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5004056961,Male,Asian,36-45,Over 20 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5004053355,Female,White,36-45,Under 2 miles,,,,3-4 times per week,1-2 times per month,Yes,No,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
5004051724,Female,White,46-55,11-20 miles,1-2 times per week,1-2 times per week,1-2 times per month,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5004050320,Male,White,Over 56,6-10 miles,,1-2 times per week,1-2 times per week,1-2 times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5004046641,Male,Hispanic or Latino,46-55,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
5004043513,Male,Hispanic or Latino,26-35,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
5004034383,Female,Hispanic or Latino,26-35,6-10 miles,5+ times per week,Never,Never,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
5004030270,Female,Hispanic or Latino,26-35,11-20 miles,1-2 times per month,5+ times per week,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,
5004024026,Female,Asian,36-45,11-20 miles,5+ times per week,,,,1-2 days per week,,,,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
5004019522,Female,Asian,36-45,Over 20 miles,5+ times per week,,,,,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
5004008686,Female,White,Over 56,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,,
5004002203,Female,White,36-45,6-10 miles,5+ times per week,Never,Never,Never,1-2 days per week,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5003996913,Male,White,Over 56,2-5 miles,3-4 times per week,,1-2 times per week,1-2 times per month,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5003994163,Female,White,Over 56,,,,,,,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5003988616,Female,Black or African American,46-55,Over 20 miles,,5+ times per week,,1-2 times per month,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,,
5003986294,Male,White,36-45,11-20 miles,5+ times per week,Never,Never,Never,1-2 days per week,Yes,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5003978646,Male,Hispanic or Latino,26-35,6-10 miles,5+ times per week,,,,1-2 times per month,No,Yes,"Yes, biking",,,Recreation,
5003975170,Female,Asian,13-17,Under 2 miles,3-4 times per week,,,1-2 times per week,,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
5003968975,Male,Asian,18-25,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,,,
5003955875,Male,White,46-55,,,,,,3-4 days per week,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
5003795302,Female,White,Over 56,11-20 miles,3-4 times per week,,1-2 times per month,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5003620668,Male,Black or African American,36-45,,,,,,3-4 days per week,,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5003522815,Male,White,46-55,11-20 miles,1-2 times per week,3-4 times per week,3-4 times per week,1-2 times per week,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5003385755,Male,Hispanic or Latino,46-55,,,,,,1-2 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
5003252578,Male,White,46-55,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5003218400,Female,Hispanic or Latino,46-55,,,,,,3-4 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
5002837064,Female,White,Over 56,,,,,,1-2 times per month,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5002810128,Male,White,46-55,,5+ times per week,1-2 times per month,,,5+ days per week,No,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5002802168,Male,White,46-55,11-20 miles,1-2 times per month,1-2 times per week,3-4 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5002621145,Female,Hispanic or Latino,26-35,11-20 miles,5+ times per week,5+ times per week,3-4 times per week,5+ times per week,,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5002620102,Male,White,46-55,6-10 miles,Never,1-2 times per week,3-4 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,
5002541888,Male,White,46-55,Over 20 miles,,3-4 times per week,3-4 times per week,,3-4 days per week,No,Yes,No,To commute to school or work,Be Environmentally Friendly,,
5002514894,Male,White,Over 56,,,,,,5+ days per week,,Yes,"Yes, biking",,,,
5002141097,Male,White,36-45,Under 2 miles,,3-4 times per week,1-2 times per week,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001814136,Female,Asian,46-55,11-20 miles,5+ times per week,1-2 times per month,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,,Exercise (not on a stationary bike)
5001734849,Male,White,46-55,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,
5001679556,Female,Black or African American,26-35,,,,,,1-2 times per month,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001666559,Female,White,46-55,11-20 miles,5+ times per week,Never,Never,Never,3-4 days per week,Yes,No,"Yes, biking",,,,Exercise (not on a stationary bike)
5001648836,Male,White,46-55,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001635544,Female,Black or African American,46-55,Under 2 miles,1-2 times per week,Never,1-2 times per week,3-4 times per week,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,,,Exercise (not on a stationary bike)
5001624866,Male,Asian,36-45,,,,,,1-2 days per week,Yes,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001621250,Male,White,46-55,Under 2 miles,Never,Never,Never,5+ times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5001619302,Male,Hispanic or Latino,26-35,2-5 miles,Never,1-2 times per month,1-2 times per week,1-2 times per month,1-2 days per week,,,,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
5001618269,Male,Hispanic or Latino,46-55,Over 20 miles,3-4 times per week,Never,1-2 times per week,Never,1-2 days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001615211,Female,Hispanic or Latino,18-25,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001610378,Female,Hispanic or Latino,26-35,6-10 miles,1-2 times per month,1-2 times per week,5+ times per week,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001599556,Male,White,Over 56,6-10 miles,,Never,3-4 times per week,1-2 times per week,3-4 days per week,,,,,Be Environmentally Friendly,Recreation,
5001566441,Male,Hispanic or Latino,46-55,2-5 miles,1-2 times per month,1-2 times per month,5+ times per week,1-2 times per month,1-2 times per month,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
5001564016,Male,Asian,36-45,11-20 miles,Never,3-4 times per week,Never,Never,1-2 days per week,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001553181,Male,Asian,46-55,11-20 miles,5+ times per week,1-2 times per month,1-2 times per month,Never,1-2 days per week,No,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001547766,Male,White,26-35,6-10 miles,3-4 times per week,1-2 times per month,1-2 times per week,Never,3-4 days per week,No,No,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
5001534687,Female,Other (please specify),36-45,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001524390,Male,White,26-35,2-5 miles,Never,Never,5+ times per week,1-2 times per month,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
5001520159,Female,Hispanic or Latino,18-25,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001520094,Male,White,Over 56,,,,,,3-4 days per week,,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5001512432,Male,White,Over 56,,,,,,1-2 times per month,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001509261,Male,White,Over 56,,,,,,3-4 days per week,,,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5001487228,Female,White,Over 56,,,,,,3-4 days per week,,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001484171,Male,White,36-45,11-20 miles,5+ times per week,Never,Never,Never,3-4 days per week,No,No,"Yes, biking",,,,Exercise (not on a stationary bike)
5001482704,Male,Asian,46-55,Under 2 miles,1-2 times per week,,1-2 times per week,1-2 times per week,1-2 days per week,Yes,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001479405,Female,White,Over 56,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,,,,Recreation,Exercise (not on a stationary bike)
5001468057,Male,Hispanic or Latino,13-17,2-5 miles,3-4 times per week,3-4 times per week,Never,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,,Recreation,
5001467563,Male,Hispanic or Latino,26-35,2-5 miles,1-2 times per week,1-2 times per month,1-2 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001463860,Female,Hispanic or Latino,26-35,Under 2 miles,5+ times per week,Never,1-2 times per month,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001460129,Male,Other (please specify),26-35,2-5 miles,Never,1-2 times per month,5+ times per week,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001391612,Male,Asian,46-55,,,,,,3-4 days per week,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001366846,Male,White,46-55,2-5 miles,3-4 times per week,Never,1-2 times per week,Never,3-4 days per week,Yes,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001256809,Female,White,36-45,11-20 miles,1-2 times per month,1-2 times per month,1-2 times per month,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
5001248431,Male,Black or African American,13-17,11-20 miles,1-2 times per week,1-2 times per week,3-4 times per week,1-2 times per month,3-4 days per week,,Yes,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5001149511,Male,White,13-17,Under 2 miles,Never,Never,5+ times per week,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001117871,Male,White,36-45,Under 2 miles,Never,Never,3-4 times per week,1-2 times per month,3-4 days per week,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5001035276,Male,White,Over 56,,,,,,3-4 days per week,,,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5000820401,Male,Hispanic or Latino,Over 56,,Never,Never,Never,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
5000569984,Male,American Indian or Alaska Native,36-45,11-20 miles,1-2 times per week,5+ times per week,1-2 times per month,Never,3-4 days per week,No,No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
5000548429,Male,White,46-55,Over 20 miles,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,
5000504453,Female,Asian,46-55,,,,,,1-2 days per week,No,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5000457293,Male,White,36-45,6-10 miles,1-2 times per week,Never,3-4 times per week,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
5000429456,Male,White,Over 56,,,,,,3-4 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
5000364300,Male,White,Over 56,6-10 miles,1-2 times per month,5+ times per week,5+ times per week,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4992742470,Female,Hispanic or Latino,18-25,Under 2 miles,5+ times per week,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,,Exercise (not on a stationary bike)
4992739662,Female,Hispanic or Latino,36-45,2-5 miles,5+ times per week,,,,,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4992737890,Female,Hispanic or Latino,36-45,Under 2 miles,5+ times per week,,,,,Yes,Yes,"Yes, biking",,,,Exercise (not on a stationary bike)
4992735702,Female,Hispanic or Latino,26-35,Under 2 miles,5+ times per week,,,,,No,No,"Yes, walking",,,,Exercise (not on a stationary bike)
4992733923,Female,Hispanic or Latino,26-35,Under 2 miles,5+ times per week,,,,,No,No,No,,,Recreation,
4992731404,Male,Hispanic or Latino,46-55,6-10 miles,5+ times per week,Never,Never,Never,,Yes,Yes,No,,,,
4992729101,Female,White,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4992727507,Female,Hispanic or Latino,26-35,,,,,,,No,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4992714616,Female,Hispanic or Latino,26-35,6-10 miles,3-4 times per week,1-2 times per week,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4992711248,Female,Hispanic or Latino,26-35,2-5 miles,5+ times per week,3-4 times per week,1-2 times per week,1-2 times per week,1-2 days per week,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4992708996,Male,Asian,36-45,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4992707184,Female,,26-35,Over 20 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,Be Environmentally Friendly,Recreation,
4992704430,Female,Hispanic or Latino,26-35,Over 20 miles,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4992701556,Female,Hispanic or Latino,36-45,Under 2 miles,,,,1-2 times per week,,Yes,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4992690693,Female,Hispanic or Latino,18-25,Under 2 miles,1-2 times per month,Never,Never,5+ times per week,,Yes,,,To commute to school or work,,,Exercise (not on a stationary bike)
4992684434,Female,Hispanic or Latino,26-35,Under 2 miles,1-2 times per week,3-4 times per week,Never,5+ times per week,,Yes,No,"Yes, walking",To commute to school or work,Be Environmentally Friendly,Recreation,
4992664787,Female,Hispanic or Latino,46-55,,,,,5+ times per week,,No,Yes,"Yes, biking",,,,
4992659916,Female,Hispanic or Latino,46-55,2-5 miles,,5+ times per week,,,,No,No,No,,,,Exercise (not on a stationary bike)
4992653409,Female,Hispanic or Latino,Over 56,,,,,Never,,No,Yes,No,,,,
4992640613,Female,Hispanic or Latino,46-55,Under 2 miles,,,1-2 times per month,5+ times per week,,No,Yes,No,,,,Exercise (not on a stationary bike)
